instnm,Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Percent full-time first-time receiving an award - 6 years (DRVOM2019),State abbreviation (HD2018),City location of institution (HD2018),ZIP code (HD2018),Admissions office web address (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Sector of institution (HD2018),Historically Black College or University (HD2018),Carnegie Classification 2018: Undergraduate Instructional Program (HD2018),Carnegie Classification 2018: Basic (HD2018),Carnegie Classification 2018: Undergraduate Profile (HD2018),Institution size category (HD2018),ROTC (IC2018_RV),Study abroad (IC2018_RV),Member of National Collegiate Athletic Association (NCAA) (IC2018),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Percent admitted - total (DRVADM2018_RV),Admissions yield - total (DRVADM2018_RV),Percent of undergraduate enrollment that are White (DRVEF2018_RV),Percent of undergraduate enrollment that are women (DRVEF2018_RV),Graduation rate  total cohort (DRVGR2018_RV),Completion of college-preparatory program (ADM2018_RV),Recommendations (ADM2018_RV),SAT Math 25th percentile score (ADM2018_RV),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018_RV),
The Evergreen State College,,57,WA,Olympia,98505-0001,www.evergreen.edu/admissions/,-122.977492,47.073820,1,2,6,20,13,2,0,1,0,41913,23397,95,27,65,58,55,1,3,,,
The General Theological Seminary,,,NY,New York,10011,www.gts.edu/admissions-overview.html,-74.003780,40.745563,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
The John Marshall Law School,,,IL,Chicago,60604,www.jmls.edu/admission/,-87.628567,41.877966,2,2,0,31,0,1,0,1,0,,,,,,,,,,,,
The Juilliard School,34004,95,NY,New York,10023-6588,www.juilliard.edu/admissions,-73.982913,40.773725,2,2,8,30,14,1,0,0,0,65610,65610,8,56,33,46,88,3,1,,,
The King's College,34069,51,NY,New York,10004,https://www.tkc.edu/admissions/,-74.012342,40.706677,2,2,9,21,15,1,0,1,0,58425,58425,54,13,66,66,51,2,3,530,590,
The King's University,24688,0,TX,Southlake,76092,https://www.tku.edu/admissions/,-97.121526,32.939730,2,2,19,24,5,1,0,1,0,,,22,79,60,57,33,3,2,440,450,
The Master's University and Seminary,30268,60,CA,Santa Clarita,91321-1200,www.masters.edu/admissions.aspx,-118.518193,34.381755,2,2,13,19,13,2,1,1,0,40582,40582,77,49,63,47,60,1,1,490,500,
The New England Conservatory of Music,46620,80,MA,Boston,02115-5018,necmusic.edu/apply-nec,-71.086290,42.340946,2,2,8,30,14,1,0,0,0,67650,67650,36,28,37,44,85,3,1,,,
The New School,50377,67,NY,New York,10011-8871,https://www.newschool.edu/admission/,-73.997114,40.735508,2,2,14,16,15,4,0,1,0,71361,71361,57,32,33,75,72,2,1,560,590,
The Santa Barbara and Ventura Colleges of Law at Santa Barbara,,,CA,Santa Barbara,93101,www.collegesoflaw.edu/admissions/,-119.705160,34.424542,2,2,0,31,0,1,0,1,0,,,,,,,,,,,,
The Santa Barbara and Ventura Colleges of Law at Ventura,,,CA,Ventura,93003,www.collegesoflaw.edu/admissions/,-119.232988,34.257470,2,2,0,31,0,1,0,1,0,,,,,,,,,,,,
The School of Architecture,,,AZ,Scottsdale,85259,taliesin.edu/admissions/,-111.845411,33.607097,2,2,0,30,0,1,0,1,0,,,,,,,,,,,,
The Seattle School of Theology & Psychology,,,WA,Seattle,98121,www.theseattleschool.edu/admissions/,-122.350945,47.613373,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
The Southern Baptist Theological Seminary,26976,51,KY,Louisville,40280-0001,www.sbts.edu/admissions,-85.687649,38.248216,2,2,16,24,9,2,0,0,0,30783,30783,67,95,87,42,49,3,1,460,490,
The University of Alabama,,68,AL,Tuscaloosa,35487-0166,gobama.ua.edu,-87.545978,33.211875,1,2,17,15,14,5,1,1,1,48322,29872,59,30,77,56,72,1,3,520,540,
The University of America,,,CA,Temecula,92590,ua-edu.us,-117.167871,33.519293,2,2,-2,-2,-2,-1,0,0,0,,,,,,,59,,,,,
The University of Findlay,25066,61,OH,Findlay,45840-3653,www.findlay.edu/admissions/Pages/default.aspx,-83.652313,41.053344,2,2,19,17,12,2,1,1,1,46920,46920,74,22,71,65,61,2,1,522,530,
The University of Montana,,43,MT,Missoula,59812,admissions.umt.edu/,-113.982912,46.859312,1,2,14,16,13,4,1,1,1,38681,20966,88,32,76,55,46,1,3,510,530,
The University of Montana-Western,,41,MT,Dillon,59725-3598,w.umwestern.edu/admissions/,-112.639264,45.208306,1,2,18,22,11,2,0,0,0,32453,20991,60,57,80,64,45,2,3,450,490,
The University of Tampa,31278,55,FL,Tampa,33606-1490,www.ut.edu/admissions/,-82.464830,27.948455,2,2,13,18,15,3,1,1,1,45450,45450,49,20,62,58,60,1,1,540,550,
The University of Tennessee Health Science Center,,,TN,Memphis,38163,www.uthsc.edu/admissions,-90.033138,35.140231,1,2,20,25,11,2,0,0,0,,,,,67,91,,,,,,
The University of Tennessee-Chattanooga,,45,TN,Chattanooga,37403-2598,www.utc.edu/about/admissions.php,-85.300247,35.047519,1,2,16,17,13,4,1,1,1,39732,23614,76,34,76,56,48,2,3,490,500,
The University of Tennessee-Knoxville,,70,TN,Knoxville,37996,admissions.utk.edu,-83.925852,35.952082,1,2,17,15,15,5,1,1,1,49930,31510,78,33,78,51,73,1,2,570,580,
The University of Tennessee-Martin,,49,TN,Martin,38238,www.utm.edu/admis.php,-88.864211,36.340338,1,2,16,20,13,3,1,1,1,27286,21246,69,21,79,60,48,1,3,,,
The University of Texas at Arlington,,50,TX,Arlington,76013,www.uta.edu/uta/admissions,-97.112960,32.729718,1,2,17,15,5,5,1,1,1,42697,26660,80,36,35,61,49,2,3,530,530,
The University of Texas at Austin,,83,TX,Austin,78712,www.utexas.edu/student/admissions,-97.738273,30.282825,1,2,14,15,15,5,1,1,1,53476,26506,39,46,40,54,83,1,5,610,620,
The University of Texas at Dallas,,69,TX,Richardson,75080-3021,www.utdallas.edu/enroll/index.php,-96.749702,32.984673,1,2,14,15,15,5,1,1,1,53128,29286,69,36,32,43,72,2,3,620,600,
The University of Texas at El Paso,,39,TX,El Paso,79968-0691,academics.utep.edu/Default.aspx?tabid=69423,-106.504098,31.770150,1,2,17,15,7,5,1,1,1,38274,23843,100,33,6,53,39,1,3,470,470,
The University of Texas at San Antonio,,37,TX,San Antonio,78249-1644,www.utsa.edu/admissions/,-98.620657,29.583709,1,2,14,16,13,5,1,1,1,35204,23715,79,37,23,50,40,1,5,520,520,
The University of Texas at Tyler,,42,TX,Tyler,75799-6699,www.uttyler.edu/admissions/,-95.254337,32.315772,1,2,17,17,9,4,0,1,1,34720,21730,78,38,58,56,45,2,3,530,550,
The University of Texas Health Science Center at Houston,,,TX,Houston,77030,https://www.uth.edu/registrar/,-95.403183,29.702873,1,2,20,25,11,3,0,0,0,,,,,33,85,,,,,,
The University of Texas Health Science Center at San Antonio,,,TX,San Antonio,78229-3900,www.uthscsa.edu/academics,-98.575655,29.508107,1,2,20,25,11,2,0,0,0,,,,,32,68,,,,,,
The University of Texas MD Anderson Cancer Center,,,TX,Houston,77030-4009,www.uth.edu/registrar/applicants/admissions.htm,-95.396804,29.707016,1,2,19,26,7,1,0,0,0,,,,,24,77,,,,,,
The University of Texas Medical Branch at Galveston,,,TX,Galveston,77555-0129,https://www.utmb.edu/enrollmentservices/,-94.775956,29.310758,1,2,20,25,11,2,0,0,0,,,,,45,84,,,,,,
The University of Texas Permian Basin,,41,TX,Odessa,79762-0001,www.utpb.edu/admissions,-102.329634,31.889509,1,2,13,18,5,3,0,1,1,21730,20890,91,53,35,58,41,1,3,480,490,
The University of Texas Rio Grande Valley,,44,TX,Edinburg,78539-2999,www.utrgv.edu/en-us/admissions/,-98.173567,26.306759,1,2,14,16,7,5,1,1,1,30431,20471,81,50,2,57,46,2,5,470,480,
The University of the Arts,41658,62,PA,Philadelphia,19102-4901,https://www.uarts.edu/admissions,-75.165888,39.946017,2,2,10,30,12,2,0,1,0,67741,67741,75,34,56,63,62,2,3,,,
The University of the South,34971,77,TN,Sewanee,37383-1000,admission.sewanee.edu/,-85.920179,35.204719,2,2,7,21,14,2,0,1,1,60950,60950,65,21,81,51,84,1,1,,,
The University of Virginia's College at Wise,,46,VA,Wise,24293-4400,https://www.uvawise.edu/admissions/,-82.559656,36.970602,1,2,9,21,11,2,1,1,1,42323,24596,77,48,74,62,48,1,2,460,490,
The University of West Florida,,47,FL,Pensacola,32514-5750,uwf.edu/admissions/,-87.218511,30.549076,1,2,16,18,9,4,1,1,1,31895,19014,42,45,65,57,43,2,3,530,550,
The Wright Institute,,,CA,Berkeley,94704-1796,www.wi.edu/admission,-122.253168,37.868221,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
Theological Seminary of the Reformed Episcopal Church,,,PA,Blue Bell,19422-1257,www.reseminary.edu/modules/tinycontent/index.php?id=7,-75.290124,40.168935,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Thiel College,25226,49,PA,Greenville,16125-2181,https://www.thiel.edu/admissions,-80.384383,41.413540,2,2,12,22,10,1,0,1,1,48450,48450,76,17,70,44,48,2,2,420,440,
Thomas Aquinas College,22073,79,CA,Santa Paula,93060,https://thomasaquinas.edu/admissions,-119.087141,34.429009,2,2,6,21,14,1,0,0,0,36738,36738,78,74,71,51,86,1,1,590,630,
Thomas College,21305,50,ME,Waterville,04901-5097,www.thomas.edu/admiss/,-69.664734,44.524909,2,2,16,20,10,2,0,1,1,40950,40950,,,62,54,49,,,,,
Thomas Edison State University,,,NJ,Trenton,08608,www.tesu.edu/admissions/admissions.php,-74.768562,40.220487,1,2,10,19,5,4,0,0,0,,,,,51,42,,,,,,
Thomas Jefferson School of Law,,,CA,San Diego,92101, ,-117.154191,32.710140,2,2,0,31,0,1,0,1,0,,,,,,,,,,,,
Thomas Jefferson University,27303,66,PA,Philadelphia,19107,www.jefferson.edu/admissions,-75.158266,39.948274,2,2,20,16,15,3,0,0,1,59762,59762,58,23,55,72,64,1,1,520,540,
Thomas More College of Liberal Arts,17389,68,NH,Merrimack,03054,www.thomasmorecollege.edu,-71.484370,42.806830,2,2,6,21,15,1,0,1,0,33500,33500,50,41,91,58,30,1,1,510,620,
Thomas More University,19766,45,KY,Crestview Hills,41017-3495,www.thomasmore.edu/admissions/,-84.568923,39.022963,2,2,16,19,12,2,1,1,1,42854,42854,90,20,78,52,48,1,3,490,470,
Thomas University,23103,49,GA,Thomasville,31792,admissions.thomasu.edu/,-83.963587,30.815576,2,2,19,19,5,2,0,1,0,27180,27180,48,50,32,55,20,2,2,,,
Tiffin University,21539,22,OH,Tiffin,44883,www.tiffin.edu/admissions,-83.184197,41.118316,2,2,19,18,13,2,1,1,1,40200,40200,69,18,31,49,29,2,2,,,
Toccoa Falls College,22309,55,GA,Toccoa Falls,30598,tfc.edu/admissions,-83.357617,34.593414,2,2,15,22,11,2,0,1,0,37392,37392,60,39,73,57,59,2,1,470,490,
Torah Temimah Talmudical Seminary,9633,22,NY,Brooklyn,11218, ,-73.972108,40.636018,2,2,18,24,11,1,0,0,0,18550,18550,80,75,95,0,21,1,1,,,
Tougaloo College,12590,47,MS,Tougaloo,39174,www.tougaloo.edu/admissions,-90.160760,32.403014,2,1,7,21,11,1,1,1,0,22840,22840,91,9,0,68,35,2,3,380,410,
Touro College,24916,50,NY,New York,10018,www.touro.edu/admissions/,-73.989404,40.753199,2,2,13,17,9,4,0,1,0,37436,37436,71,47,60,72,47,3,2,,,
Touro University California,,,CA,Vallejo,94592,admissions.tu.edu/index.html,-122.263949,38.085479,2,2,0,25,0,2,0,0,0,,,,,,,,,,,,
Touro University Nevada,,,NV,Henderson,89014,tun.touro.edu/prospective-students/applying-for-admission/,-115.024012,36.043189,2,2,20,25,11,2,0,0,0,,,,,60,92,,,,,,
Touro University Worldwide,20390,60,CA,Los Alamitos,90720,www.tuw.edu/admissions/,-118.057754,33.808683,2,2,13,18,5,2,0,1,0,,,,,39,70,50,,,,,
Towson University,,72,MD,Towson,21252-0001,https://www.towson.edu/admissions/,-76.611164,39.393622,1,2,14,17,13,5,1,1,1,40102,26834,79,32,54,59,73,5,3,520,540,
Toyota Technological Institute at Chicago,,,IL,Chicago,60637,web.ttic.edu/stuapp/apply,-87.592682,41.784721,2,2,0,28,0,1,0,0,0,,,,,,,,,,,,
Transylvania University,25779,74,KY,Lexington,40508-1797,www.transy.edu/admission,-84.493202,38.052983,2,2,9,21,10,1,1,1,1,52310,52310,89,20,80,59,75,2,1,540,560,
Trevecca Nazarene University,18036,52,TN,Nashville,37210,https://www.trevecca.edu/admissions,-86.754238,36.141324,2,2,16,17,8,2,1,1,1,39484,39484,64,36,62,62,55,2,2,490,520,
Tri-State Bible College,24378,20,OH,South Point,45680,www.tsbc.edu/Undergraduate.html,-82.579887,38.426238,2,2,18,24,5,1,0,0,0,,,,,64,33,,,,,,
Trine University,23202,54,IN,Angola,46703-1764,www.trine.edu/admission-aid/index.aspx,-85.008009,41.632502,2,2,16,19,12,2,1,1,1,47586,47586,73,22,75,45,65,2,2,510,500,
Trine University-Regional/Non-Traditional Campuses,,29,IN,Fort Wayne,46825,www.trine.edu/adult-studies/admission/index.aspx,-85.106453,41.172352,2,2,19,18,5,1,0,0,0,,,67,75,82,64,50,3,3,,,
Trinity Baptist College,15745,33,FL,Jacksonville,32221, ,-81.796260,30.311171,2,2,13,22,11,1,0,0,0,23230,23230,70,50,57,41,34,3,1,485,420,
Trinity Bible College and Graduate School,18815,41,ND,Ellendale,58436-7105,trinitybiblecollege.edu/admissions,-98.517906,46.001037,2,2,19,24,10,1,0,1,0,27302,27302,92,79,84,49,39,3,1,410,400,
Trinity Christian College,23177,68,IL,Palos Heights,60463-0929,www.trnty.edu/admissions,-87.783973,41.667687,2,2,16,22,13,2,0,1,0,43865,43865,64,25,67,67,60,1,1,470,480,
Trinity College,27829,81,CT,Hartford,06106-3100,www.trincoll.edu/Admissions/,-72.690882,41.747451,2,2,7,21,14,2,0,1,1,74160,74160,34,28,63,50,84,1,1,670,630,
Trinity College of Florida,15894,30,FL,Trinity,34655-4401,trinitycollege.edu/admissions/,-82.678318,28.194732,2,2,18,24,11,1,0,0,0,26840,26840,83,50,44,50,27,3,1,410,430,
Trinity College of Nursing & Health Sciences,,100,IL,Rock Island,61201-5317,www.trinitycollegeqc.edu/Admissions.aspx,-90.568862,41.484924,2,2,19,26,7,1,0,0,0,,,,,80,90,,1,3,,,
Trinity Episcopal School for Ministry,,,PA,Ambridge,15003-2397,www.tsm.edu/admissions,-80.230178,40.593403,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Trinity International University-Florida,16383,20,FL,Miami,33186,florida.tiu.edu/admissions-financial-aid/,-80.417646,25.683070,2,2,15,22,5,1,0,0,0,,,,,26,61,,,,,,
Trinity International University-Illinois,21218,51,IL,Deerfield,60015-1283,www.tiu.edu/becoming-a-student/apply-now/,-87.880851,42.197945,2,2,16,17,9,2,0,1,0,46510,46510,73,42,58,43,46,1,1,480,480,
Trinity Law School,,,CA,Santa Ana,92705,lawschool.tiu.edu/how-to-apply/requirements/,-117.852059,33.766071,2,2,0,31,0,1,0,1,0,,,,,,,,,,,,
Trinity University,30505,80,TX,San Antonio,78212-7200,https://new.trinity.edu/admissions-aid,-98.481860,29.462682,2,2,10,20,14,2,1,1,1,58840,58840,34,23,57,53,76,1,1,630,630,
Trinity Washington University,15738,35,DC,Washington,20017-1094,www.trinitydc.edu/admissions/,-77.004261,38.927398,2,2,16,19,7,2,0,0,1,37970,37970,95,30,2,97,28,1,1,,,
Trocaire College,14673,39,NY,Buffalo,14220-2094,trocaire.edu/admissions-aid/admissions-criteria/,-78.812398,42.846693,2,2,5,26,5,2,0,1,0,,,,,64,84,27,,,,,
Troy University,,38,AL,Troy,36082-0001,www.troy.edu/admissions/,-85.957094,31.800672,1,2,13,18,7,4,1,1,1,27947,20147,88,30,52,62,43,2,3,470,490,
Truckee Meadows Community College,,34,NV,Reno,89512-3999,www.tmcc.edu/admissions/,-119.796975,39.571402,1,2,2,5,1,4,0,0,0,,,,,54,53,30,,,,,
Truett McConnell University,17644,38,GA,Cleveland,30528,https://truett.edu/admissions/,-83.748911,34.596306,2,2,15,22,10,2,0,0,0,32880,32880,93,45,31,55,43,5,5,450,470,
Truman State University,,74,MO,Kirksville,63501-4221,admissions.truman.edu,-92.581658,40.188267,1,2,13,19,14,3,1,1,1,28181,21329,65,37,78,59,72,2,3,530,550,
Tufts University,26280,93,MA,Medford,02155-5555,admissions.tufts.edu/,-71.118293,42.408550,2,2,8,15,14,4,1,1,1,73500,73500,15,47,55,52,93,1,1,700,680,
Tulane University of Louisiana,40783,83,LA,New Orleans,70118-5698,https://admission.tulane.edu,-90.122144,29.940069,2,2,14,15,14,4,1,1,1,72296,72296,17,28,69,59,85,2,1,680,670,
Turtle Mountain Community College,8935,38,ND,Belcourt,58316, ,-99.750836,48.883758,2,2,5,33,10,1,0,0,0,,,,,3,58,39,,,,,
Tusculum University,17533,33,TN,Greeneville,37743,www.tusculum.edu/admission/,-82.760818,36.172435,2,2,16,19,11,2,0,1,1,40780,40780,66,21,70,53,31,2,5,490,470,
Tuskegee University,33420,59,AL,Tuskegee,36088-1920,https://www.tuskegee.edu/admissions-aid,-85.708492,32.430900,2,1,16,19,10,2,1,1,1,39383,39383,52,9,0,64,42,2,2,420,440,
Tyler Junior College,,20,TX,Tyler,75701,www.tjc.edu/apply,-95.284122,32.336010,1,2,5,14,7,4,0,0,0,19284,18564,,,49,62,19,,,,,
Unification Theological Seminary,,,NY,Barrytown,12507,https://uts.edu/admissions,-73.924306,42.003336,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Union Bible College,9250,0,IN,Westfield,46074-0900,https://ubca.org/future-students/admissions/,-86.126025,40.038757,2,2,-2,-2,-2,1,0,0,0,14920,14920,93,85,84,36,25,2,1,,,
Union College,17824,34,KY,Barbourville,40906-1499,www.unionky.edu/Admiss/default.asp,-83.888477,36.870875,2,2,16,20,11,2,0,1,0,40040,40040,56,26,72,52,27,2,2,476,460,
Union College,22831,53,NE,Lincoln,68506,www.ucollege.edu/admissions,-96.651095,40.774778,2,2,15,22,13,1,0,1,0,35900,35900,96,24,50,59,50,2,5,470,510,
Union College,39527,85,NY,Schenectady,12308-2311,www.union.edu/Admissions/,-73.928788,42.818097,2,2,6,21,14,2,1,1,1,70860,70860,39,22,70,46,88,2,1,,,
Union Institute & University,16585,7,OH,Cincinnati,45206-1925,https://www.myunion.edu/admissions,-84.500166,39.126921,2,2,19,17,5,1,0,0,0,,,,,40,53,11,,,,,
Union Presbyterian Seminary,,,VA,Richmond,23227,www.upsem.edu/admissions-aid/apply-now/,-77.449314,37.578928,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
Union Theological Seminary in the City of New York,,,NY,New York,10027-5792,utsnyc.edu/admissions/,-73.961549,40.811823,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Union University,31980,69,TN,Jackson,38305-3697,www.uu.edu/admissions/,-88.858524,35.676896,2,2,16,17,9,2,1,1,1,53550,53550,57,25,72,67,71,1,5,550,560,
United Lutheran Seminary,,,PA,Gettysburg,17325-1795,www.newschooloftheology.info/,-77.244111,39.831701,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
United States Air Force Academy,,79,CO,USAF Academy,80840-5002,academyadmissions.com,-104.891358,39.010957,1,2,12,21,14,2,0,1,1,,,11,98,63,27,85,2,1,620,610,
United States Coast Guard Academy,,81,CT,New London,06320-4195,https://www.uscga.edu/admissions/,-72.101583,41.375823,1,2,15,22,14,2,0,0,1,,,19,71,63,36,84,5,1,630,615,
United States Merchant Marine Academy,,80,NY,Kings Point,11024-1634,https://www.usmma.edu/admissions,-73.763004,40.813570,1,2,19,22,14,2,0,1,1,5075,5075,22,69,77,18,84,2,1,610,580,
United States Military Academy,,86,NY,West  Point,10996-1905,admissions.usma.edu/,-73.956603,41.390479,1,2,12,21,14,2,0,1,1,,,11,86,63,23,85,2,1,590,550,
United States Naval Academy,,91,MD,Annapolis,21402-5000,www.usna.edu/Admissions,-76.481692,38.980507,1,2,12,21,14,2,0,1,1,,,9,87,63,28,91,2,1,590,560,
United States Sports Academy,,,AL,Daphne,36526-7055,ussa.edu/,-87.911630,30.639329,2,2,20,32,5,1,0,0,0,,,,,57,20,,,,,,
United Talmudical Seminary,10695,55,NY,Brooklyn,11211, ,-73.959113,40.705687,2,2,18,24,11,2,0,1,0,21655,21655,,,95,0,52,,,,,
United Theological Seminary,,,OH,Dayton,45426-2308,www.united.edu,-84.276913,39.813423,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
United Theological Seminary of the Twin Cities,,,MN,New Brighton,55112-2598,www.unitedseminary.edu/admissions/,-93.226000,45.058244,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
United Tribes Technical College,4678,12,ND,Bismarck,58504,www.uttc.edu/apply-now/,-100.755131,46.767157,2,2,5,33,11,1,0,0,0,12822,12822,,,5,64,23,,,,,
Unity College,27550,66,ME,Unity,04988,https://www.unity.edu/admissions,-69.332276,44.603165,2,2,15,22,11,1,0,1,0,41720,41720,94,21,86,52,66,2,5,,,
Universal Trinity College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University at Buffalo,,73,NY,Buffalo,14260-1660,admissions.buffalo.edu/,-78.789458,43.000942,1,2,14,15,15,5,0,1,1,45428,27758,56,24,47,44,76,2,5,590,570,
University of Akron Main Campus,,37,OH,Akron,44325-4702,www.uakron.edu/admissions/,-81.511679,41.078551,1,2,16,16,12,4,1,1,1,31316,27279,69,25,74,47,39,1,2,500,490,
University of Alabama at Birmingham,,52,AL,Birmingham,35294-0110,www.uab.edu/students/undergraduate-admissions,-86.799345,33.505697,1,2,17,15,9,5,1,1,1,37472,26336,92,32,56,61,58,1,3,490,490,
University of Alabama in Huntsville,,51,AL,Huntsville,35899,https://www.uah.edu/admissions,-86.640449,34.724557,1,2,17,16,15,3,1,1,1,38298,26650,81,39,71,42,52,3,3,450,560,
University of Alaska Anchorage,,27,AK,Anchorage,99508,www.uaa.alaska.edu/admissions/,-149.826190,61.190163,1,2,16,18,5,4,1,1,1,43372,27190,81,53,53,59,30,2,3,,,
University of Alaska Fairbanks,,34,AK,Fairbanks,99775,www.uaf.edu/admissions/,-147.823146,64.857560,1,2,14,16,5,3,1,1,1,33842,20281,76,58,52,59,32,3,3,520,530,
University of Alaska Southeast,,30,AK,Juneau,99801-8697,uas.alaska.edu/admissions,-134.638255,58.384846,1,2,10,19,5,2,0,1,0,32904,20140,63,69,54,65,36,2,3,,,
University of Arizona,,63,AZ,Tucson,85721-0066,admissions.arizona.edu,-110.950815,32.232672,1,2,14,15,11,5,1,1,1,53116,29217,84,23,50,52,64,2,3,530,540,
University of Arizona-Sierra Vista,,,AZ,Sierra Vista,85635,uas.arizona.edu/admissions,-110.245117,31.567832,1,2,10,21,7,1,0,1,1,,,,,40,56,,,,,,
University of Arkansas,,61,AR,Fayetteville,72701,https://admissions.uark.edu/,-94.176981,36.070009,1,2,17,15,15,5,1,1,1,41538,25500,77,35,76,53,66,5,3,540,560,
University of Arkansas at Little Rock,,34,AR,Little Rock,72204,ualr.edu/admissions/,-92.339778,34.723254,1,2,16,16,9,4,1,1,1,36283,24073,79,28,54,62,39,2,3,470,480,
University of Arkansas at Monticello,,30,AR,Monticello,71656,www.uamont.edu/pages/admissions/,-91.811153,33.590909,1,2,13,19,10,2,1,1,1,24662,18812,,,60,56,26,,,,,
University of Arkansas at Pine Bluff,,28,AR,Pine Bluff,71601,www.uapb.edu/admissions.aspx,-92.018683,34.244031,1,1,13,22,10,2,1,1,1,27150,20790,44,23,4,59,29,2,3,440,450,
University of Arkansas for Medical Sciences,,,AR,Little Rock,72205-7199,https://students.uams.edu/future-students/,-92.320046,34.749048,1,2,20,25,7,2,0,0,0,,,,,71,82,,,,,,
University of Arkansas System eVersity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Arkansas-Fort Smith,,30,AR,Fort Smith,72913-3649,admissions.uafs.edu/,-94.373729,35.384184,1,2,15,22,11,3,1,1,1,27056,19983,,,66,57,32,,,,,
University of Baltimore,,32,MD,Baltimore,21201-5720,www.ubalt.edu/template.cfm?page=55,-76.616591,39.305834,1,2,16,18,7,3,1,1,0,,,78,30,32,60,37,2,3,450,460,
University of Bridgeport,22347,42,CT,Bridgeport,06604-5620,www.bridgeport.edu/admissions,-73.190166,41.164741,2,2,16,17,7,3,0,1,1,55583,55583,57,12,22,64,42,2,1,440,460,
University of California-Berkeley,,91,CA,Berkeley,94720, ,-122.260463,37.871918,1,2,11,15,15,5,1,1,1,67058,38066,15,45,25,53,91,1,5,670,650,
University of California-Davis,,85,CA,Davis,95616-8678,www.ucdavis.edu/admissions/,-121.749567,38.539667,1,2,11,15,15,5,1,1,1,64169,35177,41,20,24,60,86,1,3,580,580,
University of California-Hastings College of Law,,,CA,San Francisco,94102-4978,www.uchastings.edu/admissions/,-122.415700,37.781137,1,2,0,31,0,2,0,1,0,,,,,,,,,,,,
University of California-Irvine,,85,CA,Irvine,92697,www.admissions.uci.edu/,-117.841248,33.648434,1,2,14,15,15,5,1,1,1,63253,34261,29,21,13,51,83,1,3,610,580,
University of California-Los Angeles,,91,CA,Los Angeles,90095-1405,www.admissions.ucla.edu/,-118.443901,34.068892,1,2,8,15,15,5,1,1,1,63612,34620,14,39,27,58,91,1,3,640,650,
University of California-Merced,,64,CA,Merced,95343-5603,admissions.ucmerced.edu,-120.424944,37.366237,1,2,11,16,12,3,0,1,0,64655,35663,66,13,10,52,66,1,3,510,510,
University of California-Riverside,,75,CA,Riverside,92521,admissions.ucr.edu/,-117.327410,33.972460,1,2,11,15,15,5,0,1,1,64234,35242,51,18,11,54,75,1,3,550,560,
University of California-San Diego,,85,CA,La Jolla,92093,www.ucsd.edu/prospective-students/undergrad.html,-117.235866,32.877749,1,2,11,15,15,5,0,1,1,61830,32838,30,23,19,50,86,1,3,640,620,
University of California-San Francisco,,,CA,San Francisco,94143-0244,https://www.ucsf.edu/education/admissions,-122.458489,37.763737,1,2,0,25,0,2,0,1,0,,,,,,,,,,,,
University of California-Santa Barbara,,81,CA,Santa Barbara,93106,www.admissions.ucsb.edu/,-119.846426,34.416297,1,2,8,15,15,5,1,1,1,65651,36659,32,17,31,54,82,1,3,610,620,
University of California-Santa Cruz,,78,CA,Santa Cruz,95064-1011,admissions.ucsc.edu/,-122.058801,36.995584,1,2,8,15,15,4,0,1,1,65209,36217,47,14,30,48,74,1,3,600,590,
University of Central Arkansas,,41,AR,Conway,72035-0001,uca.edu/admissions,-92.457672,35.077945,1,2,16,17,13,4,1,1,1,29086,22563,91,40,66,60,41,2,3,490,480,
